report_date,geoid,county,state,confirmed,confirmed_rate,new_confirmed,confirmed_avg,deaths,mortality_rate,new_deaths,deaths_avg,case_fatality_rate
2020-02-07,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-07,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-07,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-08,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-08,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-09,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-09,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-10,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-10,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17117,Macoupin,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17119,Madison,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17133,Monroe,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,17163,St. Clair,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-11,29071,Franklin,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29099,Jefferson,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29113,Lincoln,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29183,St. Charles,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29189,St. Louis,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29219,Warren,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-11,29510,St. Louis City,Missouri,0,0,0,0,0,0,0,0,NaN
2020-02-12,17005,Bond,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17013,Calhoun,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17027,Clinton,Illinois,0,0,0,0,0,0,0,0,NaN
2020-02-12,17083,Jersey,Illinois,0,0,0,0,0,0,0,0,NaN
